gene_id,sample1,sample2,sample3,sample4,sample5,sample6
gene-ERRFI1-DT|ERRFI1-DT,0,0,26,0,0,0
gene-RPL7AP18|RPL7AP18,5,0,0,0,0,0
gene-LOC107984915|LOC107984915,9,24,48,14,0,0
gene-LINC01714|LINC01714,0,0,0,0,0,0
gene-LOC124903835|LOC124903835,0,2,0,0,0,0
gene-SLC45A1|SLC45A1,0,0,13,0,0,0
gene-RERE|RERE,233,449,230,77,28,259
gene-RERE-AS1|RERE-AS1,0,0,3,0,0,0
gene-SNORD128|SNORD128,0,0,0,0,0,0
gene-LOC124900452|LOC124900452,0,5,1,0,0,0
gene-RPL23AP19|RPL23AP19,0,1,11,0,0,0
gene-ENO1|ENO1,4509,4239,3264,3398,2239,1229
gene-MIR6728|MIR6728,0,0,0,0,0,0
rna-NR_106786.1|MIR6728,0,0,0,0,0,0
gene-ENO1-AS1|ENO1-AS1,0,0,0,0,0,0
gene-LOC112268261|LOC112268261,0,18,18,0,0,0
gene-HMGN2P17|HMGN2P17,14,41,20,8,4,7
gene-SLC2A7|SLC2A7,0,6,6,0,0,0
gene-GPR157|GPR157,0,38,83,0,0,0
gene-H6PD|H6PD,19,162,250,0,0,0
gene-LOC124903836|LOC124903836,0,0,0,0,0,0
gene-SPSB1|SPSB1,109,67,158,150,55,19
gene-LINC02606|LINC02606,5,10,0,6,0,0
gene-SLC25A33|SLC25A33,3,115,33,0,0,86
gene-PIK3CD|PIK3CD,72,518,570,53,78,0
gene-LOC105376712|LOC105376712,0,0,0,0,0,0
gene-PIK3CD-AS1|PIK3CD-AS1,0,10,7,0,0,0
gene-PIK3CD-AS2|PIK3CD-AS2,0,0,0,0,0,0
gene-LOC124903839|LOC124903839,0,0,0,0,0,0
gene-CLSTN1|CLSTN1,11,259,127,0,0,268
gene-MZT1P1|MZT1P1,0,0,9,0,0,0
gene-CTNNBIP1|CTNNBIP1,411,141,212,177,242,45
gene-LOC105376717|LOC105376717,0,0,12,0,0,0
gene-LOC124903838|LOC124903838,11,0,5,2,0,0
gene-LZIC|LZIC,597,389,354,253,116,299
gene-NMNAT1|NMNAT1,22,72,155,0,2,10
gene-TMEM274P|TMEM274P,0,0,0,0,0,0
gene-MIR5697|MIR5697,0,0,0,1,0,0
rna-NR_049882.1|MIR5697,0,0,0,1,0,0
gene-LOC124903840|LOC124903840,0,0,0,0,0,0
gene-RBP7|RBP7,3,129,109,0,0,41
gene-UBE4B|UBE4B,201,180,237,117,11,0
gene-KIF1B|KIF1B,746,211,284,247,21,56
gene-RNU6-37P|RNU6-37P,0,5,0,0,0,0
gene-PGD|PGD,2700,2263,1655,1847,1074,281
gene-CENPS-CORT|CENPS-CORT,0,29,9,0,0,0
gene-CORT|CORT,0,0,3,0,0,0
gene-CENPS|CENPS,22,71,75,15,24,0
gene-DFFA|DFFA,21,174,229,10,6,0
gene-PEX14|PEX14,9,134,72,6,0,0
gene-RN7SL614P|RN7SL614P,0,0,0,0,0,0
gene-CASZ1|CASZ1,10,8,34,0,0,0
gene-C1orf127|C1orf127,0,5,6,0,0,0
gene-TARDBP|TARDBP,103,536,569,40,32,466
gene-MASP2|MASP2,0,0,5,0,0,0
gene-SRM|SRM,73,407,271,35,34,3
gene-MTOR|MTOR,31,145,215,19,6,13
gene-MTOR-AS1|MTOR-AS1,0,0,0,0,0,0
gene-RNU6-537P|RNU6-537P,0,0,0,0,0,0
gene-LOC124904848|LOC124904848,0,0,0,0,0,0
gene-ANGPTL7|ANGPTL7,0,15,20,9,0,0
gene-RPL39P6|RPL39P6,0,0,0,0,0,0
gene-UBIAD1|UBIAD1,25,176,198,12,17,0
gene-UBE2V2P3|UBE2V2P3,0,0,0,0,0,0
gene-DISP3|DISP3,5,0,0,0,0,0
gene-LOC124903842|LOC124903842,9,8,0,0,0,0
gene-FBXO6|FBXO6,7,147,66,16,12,14
gene-MAD2L2|MAD2L2,0,146,81,14,0,58
gene-DRAXIN|DRAXIN,0,62,33,7,7,0
gene-AGTRAP|AGTRAP,405,831,686,169,73,112
gene-LOC101060126|LOC101060126,0,3,7,0,0,0
gene-C1orf167|C1orf167,0,11,13,0,0,64
gene-C1orf167-AS1|C1orf167-AS1,0,8,23,0,0,0
gene-MTHFR|MTHFR,239,161,296,182,43,2
gene-CLCN6|CLCN6,0,78,89,0,0,0
gene-NPPB|NPPB,0,0,0,0,0,0
gene-NPPA-AS1|NPPA-AS1,228,45,19,153,0,3
gene-NPPA|NPPA,92,38,9,82,13,0
gene-SBF1P2|SBF1P2,5,0,0,0,0,0
gene-RNU5E-1|RNU5E-1,0,0,3,0,0,0
gene-LOC124903843|LOC124903843,0,6,0,0,3,0
gene-PLOD1|PLOD1,61,175,80,25,32,0
gene-KIAA2013|KIAA2013,791,438,570,442,180,33
gene-MFN2|MFN2,3848,1176,807,2387,129,92
gene-MIIP|MIIP,10,177,115,29,19,171
gene-MIR6729|MIR6729,0,0,0,0,0,0
rna-NR_106787.1|MIR6729,0,0,0,0,0,0
gene-TNFRSF8|TNFRSF8,18,102,74,5,0,111
gene-RPL23AP89|RPL23AP89,0,9,0,0,1,0
gene-MIR7846|MIR7846,0,1,1,0,0,0
gene-TNFRSF1B|TNFRSF1B,95,2009,1992,39,19,78
rna-NR_107000.1|MIR7846,0,1,1,0,0,0
gene-LOC124903844|LOC124903844,0,177,92,0,0,2
gene-MIR4632|MIR4632,0,0,0,0,0,0
rna-NR_039775.2|MIR4632,0,0,0,0,0,0
gene-VPS13D|VPS13D,169,300,286,41,15,6
gene-LOC124903845|LOC124903845,0,0,0,0,0,0
gene-LOC124904680|LOC124904680,0,0,0,0,0,0
gene-SNORA59A|SNORA59A,0,4,4,0,0,0
gene-LINC02766|LINC02766,0,0,9,0,0,0
gene-DHRS3|DHRS3,959,943,702,566,203,138
gene-MIR6730|MIR6730,0,2,0,0,0,0
rna-NR_106788.2|MIR6730,0,2,0,0,0,0
gene-CFAP107|CFAP107,9,11,79,9,0,0
gene-LINC01784|LINC01784,0,0,0,0,0,0
gene-PRAMEF11|PRAMEF11,0,0,0,0,0,0
gene-PRAMEF30P|PRAMEF30P,3,9,3,0,0,0
gene-PRAMEF6|PRAMEF6,2,1,0,0,0,0
gene-HNRNPCL3|HNRNPCL3,0,2,4,0,2,0
gene-PRAMEF34P|PRAMEF34P,1,3,5,0,0,0
gene-PRAMEF36P|PRAMEF36P,1,3,6,0,0,0
gene-HNRNPCL4|HNRNPCL4,1,2,4,0,1,0
gene-PRAMEF18|PRAMEF18,3,3,4,0,0,0
gene-RNU6-771P|RNU6-771P,0,0,0,0,0,0
gene-PRAMEF8|PRAMEF8,0,0,0,0,0,0
gene-PRAMEF33|PRAMEF33,0,0,0,0,0,0
gene-PRAMEF5|PRAMEF5,1,0,0,0,0,0
gene-PRAMEF19|PRAMEF19,0,10,11,0,6,0
gene-PRAMEF17|PRAMEF17,2,17,37,0,0,0
gene-PDPN|PDPN,0,22,13,0,0,0
gene-PRDM2|PRDM2,61,554,540,78,42,0
gene-KAZN|KAZN,28,29,27,28,11,3
gene-LOC107985467|LOC107985467,11,324,174,0,14,241
gene-LOC124903847|LOC124903847,0,45,110,0,19,0
gene-KAZN-AS1|KAZN-AS1,0,11,0,0,0,0
gene-LOC124903850|LOC124903850,0,91,22,23,3,7
gene-LOC105376759|LOC105376759,0,0,0,0,0,0
gene-LOC124903848|LOC124903848,0,14,28,0,0,0
gene-LOC107985469|LOC107985469,0,0,5,0,0,0
gene-LOC124903849|LOC124903849,0,0,0,0,0,0
gene-TMEM51-AS1|TMEM51-AS1,0,0,0,0,0,0
gene-TMEM51|TMEM51,0,29,11,0,0,0
gene-TMEM51-AS2|TMEM51-AS2,0,0,0,0,3,0
gene-MFFP1|MFFP1,3,11,0,0,0,0
gene-FHAD1|FHAD1,0,24,36,0,0,0
gene-LOC124903853|LOC124903853,0,0,0,0,0,0
gene-LOC124903852|LOC124903852,0,3,4,0,0,0
gene-FHAD1-AS1|FHAD1-AS1,7,20,0,0,3,0
gene-LOC124903851|LOC124903851,0,0,38,0,0,0
gene-EFHD2-AS1|EFHD2-AS1,0,13,0,0,5,0
gene-EFHD2|EFHD2,95,1942,1638,96,95,884
gene-CTRC|CTRC,0,24,54,0,0,0
gene-CELA2A|CELA2A,0,0,9,0,0,0
gene-LOC105376767|LOC105376767,0,8,9,0,0,0
gene-CASP9|CASP9,140,153,71,183,51,0
gene-CELA2B|CELA2B,2,0,10,0,0,0
gene-DNAJC16|DNAJC16,155,241,235,141,55,27
gene-SCARNA21B|SCARNA21B,0,0,0,0,0,0
gene-AGMAT|AGMAT,0,17,8,0,0,0
gene-CD24P1|CD24P1,0,0,5,0,0,0
gene-DDI2|DDI2,153,205,398,104,13,14
gene-RSC1A1|RSC1A1,3,1,3,1,2,1
gene-PLEKHM2|PLEKHM2,35,170,214,44,30,74
gene-FBLIM1|FBLIM1,0,36,7,3,0,0
gene-UQCRHL|UQCRHL,89,83,53,103,52,78
gene-LOC124904815|LOC124904815,0,5,0,0,0,0
gene-ZBTB17|ZBTB17,15,66,85,8,0,0
gene-LOC124903855|LOC124903855,19,39,42,21,10,3
gene-SPEN-AS1|SPEN-AS1,54,178,64,45,16,0
gene-SPEN|SPEN,120,765,589,139,36,11
gene-SRARP|SRARP,5,10,0,0,0,0
gene-EPHA2|EPHA2,0,0,23,0,0,0
gene-EPHA2-AS1|EPHA2-AS1,0,15,19,5,0,0
gene-ANO7L1|ANO7L1,6,7,2,8,0,0
gene-CPLANE2|CPLANE2,4,2,0,0,0,0
gene-MT1XP1|MT1XP1,4,6,8,5,1,0
gene-FBXO42|FBXO42,45,112,68,35,16,124
gene-SZRD1|SZRD1,448,179,194,218,253,22
gene-RPL22P3|RPL22P3,0,2,0,0,0,0
gene-SPATA21|SPATA21,2,6,15,0,0,0
gene-NECAP2|NECAP2,143,407,380,133,68,101
gene-NBPF1|NBPF1,11,26,60,0,2,0
gene-LOC124900584|LOC124900584,0,71,71,0,3,0
gene-RNU1-3|RNU1-3,1,1,1,0,1,0
gene-LOC124903857|LOC124903857,1,3,5,1,1,0
gene-EIF1AXP1|EIF1AXP1,64,161,96,41,47,2
gene-LOC124903859|LOC124903859,4,8,15,0,0,0
gene-RNU1-4|RNU1-4,1,1,1,0,1,0
gene-LOC107985101|LOC107985101,0,7,3,0,0,0
gene-LOC105376805|LOC105376805,3,14,16,2,0,0
gene-RNU1-2|RNU1-2,1,1,1,0,0,0
gene-CROCC|CROCC,0,37,22,0,0,82
gene-ATP13A2|ATP13A2,59,54,51,47,33,0
gene-SDHB|SDHB,28,183,109,29,6,71
gene-PADI2|PADI2,24,89,106,17,7,170
gene-LOC124903861|LOC124903861,0,0,0,0,0,0
gene-LOC105376808|LOC105376808,0,0,0,0,0,0
gene-PADI1|PADI1,0,9,2,0,0,0
gene-PADI3|PADI3,1,2,14,0,0,0
gene-MIR3972|MIR3972,0,2,0,0,0,0
rna-NR_039768.1|MIR3972,0,1,0,0,0,0
gene-PADI4|PADI4,1361,140,449,1101,421,156
gene-PADI6|PADI6,0,4,9,0,0,0
gene-RCC2|RCC2,215,201,314,71,34,26
gene-RCC2-AS1|RCC2-AS1,0,0,0,0,0,0
gene-LOC124903862|LOC124903862,0,0,0,0,0,0
gene-LOC124904837|LOC124904837,0,1,2,0,0,0
gene-ARHGEF10L|ARHGEF10L,21,113,164,0,0,0
gene-PAX7|PAX7,5,8,8,0,0,0
gene-LOC105376815|LOC105376815,3,14,7,0,6,0
gene-UBR4|UBR4,375,668,402,175,163,126
gene-EMC1-AS1|EMC1-AS1,0,12,0,5,3,0
gene-EMC1|EMC1,36,88,93,0,13,0
gene-MRTO4|MRTO4,8,139,90,0,0,0
gene-AKR7L|AKR7L,0,7,0,0,0,0
gene-AKR7A3|AKR7A3,5,19,0,0,5,0
gene-LOC124903867|LOC124903867,0,14,12,6,0,0
gene-LOC100506730|LOC100506730,0,2,0,0,0,0
gene-RNU6-1099P|RNU6-1099P,0,11,0,0,0,0
gene-AKR7A2|AKR7A2,718,628,332,665,248,103
gene-SLC66A1|SLC66A1,55,74,3,39,18,0
gene-CAPZB|CAPZB,5494,4142,2336,4379,2485,1118
gene-LOC124903868|LOC124903868,0,3,0,0,0,0
gene-RN7SL277P|RN7SL277P,0,4,0,0,0,0
gene-LOC105376819|LOC105376819,6,5,10,6,0,0
gene-LOC105376818|LOC105376818,0,0,0,0,0,0
gene-LOC105376817|LOC105376817,0,0,5,0,0,0
gene-LOC124903869|LOC124903869,2,1,0,0,0,0
gene-MICOS10|MICOS10,106,458,444,70,66,146
gene-MICOS10-NBL1|MICOS10-NBL1,0,3,0,2,0,0
gene-NBL1|NBL1,0,0,0,0,0,0
gene-MICOS10-DT|MICOS10-DT,2,0,3,0,0,0
gene-RPS14P3|RPS14P3,2,25,1,0,2,0
gene-LOC105376823|LOC105376823,0,0,8,0,0,0
gene-OTUD3|OTUD3,0,52,133,19,15,3
gene-PLA2G5|PLA2G5,0,1,2,9,0,0
gene-PLA2G2F|PLA2G2F,4,0,0,0,0,0
gene-PLA2G2C|PLA2G2C,1,0,14,0,0,0
gene-UBXN10|UBXN10,16,10,0,0,3,0
gene-LOC105376825|LOC105376825,6,11,49,0,3,0
gene-LOC124903871|LOC124903871,0,0,0,0,0,0
gene-CAMK2N1|CAMK2N1,0,17,11,0,0,0
gene-MUL1|MUL1,20,149,216,13,0,0
gene-CDA|CDA,15,201,180,20,9,0
gene-PINK1|PINK1,193,133,105,206,67,132
gene-MIR6084|MIR6084,1,1,1,1,1,1
rna-NR_106732.1|MIR6084,1,1,1,1,0,0
gene-PINK1-AS|PINK1-AS,107,124,60,37,31,0
gene-DDOST|DDOST,146,934,761,39,82,0
gene-KIF17|KIF17,0,0,0,0,0,0
gene-SH2D5|SH2D5,0,2,0,0,0,0
gene-HP1BP3|HP1BP3,667,1144,923,393,192,37
gene-EIF4G3|EIF4G3,4004,1338,1578,1617,1232,550
gene-LOC105376830|LOC105376830,0,0,0,0,0,0
gene-LOC105376829|LOC105376829,0,0,0,0,0,0
gene-MIR1256|MIR1256,0,0,0,0,0,2
rna-NR_031657.1|MIR1256,0,0,0,0,0,1
gene-RPS15AP6|RPS15AP6,0,19,5,3,3,0
gene-ECE1|ECE1,2616,645,1047,1039,873,226
gene-ECE1-AS1|ECE1-AS1,0,14,0,0,0,0
gene-LOC124903872|LOC124903872,477,405,201,167,154,171
gene-HS6ST1P1|HS6ST1P1,5,16,29,1,1,1
gene-CROCCP5|CROCCP5,0,0,0,0,0,0
gene-NBPF3|NBPF3,127,127,5,318,199,0
gene-PFN1P10|PFN1P10,0,0,0,1,0,0
gene-ALPL|ALPL,0,158,31,0,0,0
gene-LINC02596|LINC02596,0,5,0,0,0,0
gene-RAP1GAP|RAP1GAP,0,2,0,0,0,0
gene-USP48|USP48,290,350,286,126,99,0
gene-LOC124904736|LOC124904736,0,0,1,0,0,0
gene-LDLRAD2|LDLRAD2,0,0,23,0,0,0
gene-HSPG2|HSPG2,0,16,25,0,0,24
gene-CELA3A|CELA3A,6,9,0,0,0,0
gene-LINC01635|LINC01635,0,0,0,0,0,0
gene-LINC00339|LINC00339,21,148,44,32,6,0
gene-WNT4|WNT4,0,5,0,0,0,3
gene-LOC105376845|LOC105376845,0,11,7,0,0,0
gene-LOC105376850|LOC105376850,0,0,75,0,0,0
gene-CDC42|CDC42,2441,2846,1794,922,666,350
gene-ZBTB40|ZBTB40,3,133,218,20,0,0
gene-C1QA|C1QA,31,93,62,6,3,0
gene-C1QB|C1QB,7,58,29,0,0,0
gene-EPHB2|EPHB2,1,40,18,0,2,0
gene-MIR4684|MIR4684,0,0,0,0,0,0
rna-NR_039832.1|MIR4684,0,0,0,0,0,0
gene-MIR4253|MIR4253,0,0,0,0,0,0
rna-NR_036214.1|MIR4253,0,0,0,0,0,0
gene-LOC124903874|LOC124903874,0,0,0,2,0,0
gene-LACTBL1|LACTBL1,0,11,17,0,2,0
gene-KDM1A|KDM1A,120,291,217,52,28,3
gene-MIR3115|MIR3115,0,0,0,0,0,0
rna-NR_036057.1|MIR3115,0,0,0,0,0,0
gene-LUZP1|LUZP1,17,320,129,26,19,0
gene-RPL29P6|RPL29P6,0,1,0,0,0,0
gene-LINC01355|LINC01355,0,13,25,0,0,0
gene-HNRNPR|HNRNPR,298,478,387,159,115,0
gene-ZNF436|ZNF436,9,11,27,2,0,0
gene-TCEA3|TCEA3,3,16,20,0,3,53
gene-ZNF436-AS1|ZNF436-AS1,4,8,28,2,1,0
gene-LOC124903875|LOC124903875,0,0,0,0,0,0
gene-ASAP3|ASAP3,0,0,6,6,11,0
gene-E2F2|E2F2,0,18,9,0,0,0
gene-LOC101928163|LOC101928163,0,5,0,0,0,0
gene-RPL11|RPL11,367,4372,3039,139,142,601
gene-ELOA-AS1|ELOA-AS1,0,0,1,0,0,0
gene-PITHD1|PITHD1,148,269,221,91,85,0
gene-LOC105376860|LOC105376860,0,0,0,0,0,0
gene-LYPLA2|LYPLA2,81,448,204,74,67,0
gene-GALE|GALE,0,46,0,13,0,0
gene-HMGCL|HMGCL,86,270,208,113,47,150
gene-LOC105376861|LOC105376861,0,0,0,0,0,0
gene-ELOA|ELOA,115,247,267,92,51,0
gene-FUCA1|FUCA1,23,147,216,10,0,248
gene-CNR2|CNR2,0,142,75,0,5,0
gene-LOC124904841|LOC124904841,0,0,0,0,0,0
gene-BTBD6P1|BTBD6P1,0,26,8,2,1,0
gene-MIR378F|MIR378F,0,0,0,0,0,0
rna-NR_039615.1|MIR378F,0,0,0,0,0,0
